Category: All categories

Week,tesla: (United States)
2024-04-14,47
2024-04-21,53
2024-04-28,44
2024-05-05,41
2024-05-12,44
2024-05-19,42
2024-05-26,41
2024-06-02,40
2024-06-09,42
2024-06-16,41
2024-06-23,41
2024-06-30,44
2024-07-07,42
2024-07-14,38
2024-07-21,43
2024-07-28,38
2024-08-04,38
2024-08-11,37
2024-08-18,37
2024-08-25,36
2024-09-01,34
2024-09-08,35
2024-09-15,33
2024-09-22,33
2024-09-29,33
2024-10-06,46
2024-10-13,44
2024-10-20,47
2024-10-27,38
2024-11-03,43
2024-11-10,47
2024-11-17,43
2024-11-24,44
2024-12-01,43
2024-12-08,45
2024-12-15,47
2024-12-22,44
2024-12-29,50
2025-01-05,40
2025-01-12,37
2025-01-19,40
2025-01-26,40
2025-02-02,38
2025-02-09,40
2025-02-16,40
2025-02-23,47
2025-03-02,48
2025-03-09,94
2025-03-16,100
2025-03-23,77
2025-03-30,78
2025-04-06,65
2025-04-13,43
